Step,Row,Column,Heading,Left Wall,Front Wall,Right Wall
0,0,0,S,N,N,Y,
1,1,0,S,N,Y,Y,
2,1,0,E,N,N,Y,
3,1,1,E,Y,N,N,
4,1,2,E,N,Y,N,
5,1,2,N,N,N,Y,
6,0,2,N,N,Y,N,
7,0,2,E,Y,N,N,
8,0,3,E,Y,Y,N,
9,0,3,S,Y,N,N,
10,1,3,S,N,N,Y,
11,2,3,S,Y,N,Y,
12,3,3,S,N,N,N,
13,3,3,E,N,N,N,
14,3,4,E,Y,N,N,
15,3,4,S,N,N,N,
16,4,4,S,N,Y,Y,
17,4,4,E,N,N,Y,
18,4,5,E,Y,N,Y,
19,4,6,E,N,Y,Y,
20,4,6,N,N,N,Y,
21,3,6,N,Y,Y,N,
22,3,6,E,Y,N,N,
23,3,7,E,N,N,Y,
24,3,7,N,N,N,N,
25,2,7,N,N,Y,N,
26,2,7,W,N,N,Y,
27,2,6,W,Y,N,N,
28,2,5,W,Y,N,Y,
29,2,4,W,Y,Y,Y,
30,2,4,N,Y,Y,N,
31,2,4,E,Y,N,Y,
32,2,5,E,Y,N,Y,
33,2,6,E,N,N,Y,
34,2,7,E,Y,N,N,
35,2,7,S,N,N,N,
36,3,7,S,N,Y,N,
37,3,7,W,Y,N,N,
38,3,6,W,N,Y,Y,
39,3,6,S,N,N,Y,
40,4,6,S,Y,Y,N,
41,4,6,W,Y,N,N,
42,4,5,W,Y,N,Y,
43,4,4,W,Y,Y,N,
44,4,4,N,Y,N,N,
45,3,4,N,N,Y,N,
46,3,4,W,N,N,Y,
47,3,3,W,N,N,N,
48,3,3,N,N,N,N,
49,2,3,N,Y,N,Y,
50,1,3,N,Y,N,N,
51,0,3,N,N,Y,Y,
52,0,3,W,N,N,Y,
53,0,2,W,N,N,Y,
54,0,2,S,N,N,N,
55,1,2,S,Y,N,N,
56,1,2,W,N,N,N,
57,1,1,W,N,N,Y,
58,1,0,W,Y,Y,N,
59,1,0,N,Y,N,N,
60,0,0,N,Y,Y,N,
61,0,0,E,Y,N,N,
62,0,0,S,N,N,Y,
63,1,0,S,N,Y,Y,
64,1,0,E,N,N,Y,
65,1,1,E,Y,N,N,
66,1,1,S,N,N,N,
67,2,1,S,Y,N,N,
68,2,1,W,N,N,N,
69,2,0,W,N,Y,Y,
70,2,0,S,N,N,Y,
71,3,0,S,Y,N,Y,
72,4,0,S,Y,Y,Y,
73,4,0,W,Y,Y,N,
74,4,0,N,Y,N,Y,
75,3,0,N,Y,N,Y,
76,2,0,N,Y,Y,N,
77,2,0,E,Y,N,N,
78,2,1,E,N,Y,N,
79,2,1,S,Y,N,N,
80,3,1,S,N,N,Y,
81,4,1,S,N,Y,Y,
82,4,1,E,N,N,Y,
83,4,2,E,Y,N,Y,
84,4,3,E,N,Y,Y,
85,4,3,N,N,N,Y,
86,3,3,N,N,N,N,
87,3,3,W,N,N,N,
88,3,2,W,Y,N,Y,
89,3,1,W,N,Y,N,
90,3,1,S,N,N,Y,
91,4,1,S,N,Y,Y,
92,4,1,E,N,N,Y,
93,4,2,E,Y,N,Y,
94,4,3,E,N,Y,Y,
95,4,3,N,N,N,Y,
96,3,3,N,N,N,N,
97,3,3,W,N,N,N,
98,3,2,W,Y,N,Y,
99,3,1,W,N,Y,N,
100,3,1,N,Y,N,N,
101,2,1,N,N,N,Y,
102,1,1,N,N,Y,N,
103,1,1,E,Y,N,N,
104,1,2,E,N,Y,N,
105,1,2,N,N,N,Y,
106,0,2,N,N,Y,N,
107,0,2,E,Y,N,N,
108,0,3,E,Y,Y,N,
109,0,3,S,Y,N,N,
110,1,3,S,N,N,Y,
111,1,3,E,N,N,N,
112,1,4,E,N,N,Y,
113,1,4,N,N,N,N,
114,0,4,N,Y,Y,N,
115,0,4,E,Y,N,N,
116,0,5,E,Y,N,N,
117,0,6,E,Y,N,Y,
118,0,7,E,Y,N,N,
119,0,8,E,Y,Y,N,
120,0,8,S,Y,N,N,
121,1,8,S,Y,N,N,
122,1,8,W,N,N,N,
123,1,7,W,Y,Y,N,
124,1,7,N,Y,N,N,
125,0,7,N,N,Y,N,
126,0,7,E,Y,N,N,
127,0,8,E,Y,Y,N,
128,0,8,S,Y,N,N,
129,1,8,S,Y,N,N,
130,2,8,S,Y,N,N,
131,3,8,S,Y,N,N,
132,4,8,S,Y,Y,N,
133,4,8,W,Y,N,N,
134,4,7,W,Y,Y,Y,
135,4,7,N,Y,Y,N,
136,4,7,E,Y,N,Y,
137,4,8,E,N,Y,Y,
138,4,8,N,N,N,Y,
139,3,8,N,N,N,Y,
140,3,8,W,N,N,N,
